timestamp,ticker,name,current_price,day_high,day_low,volume,market_cap
2026-03-12T16:52:01.765631+00:00,TSLA,"Tesla, Inc.",400.0799865722656,400.8999938964844,399.9713134765625,139489,1482248159232
2026-03-10T12:53:00-04:00,TSLA,"Tesla, Inc.",403.5199890136719,403.75,403.4100036621094,0,1482248159232
2026-03-10T12:54:00-04:00,TSLA,"Tesla, Inc.",403.4649963378906,403.6000061035156,403.40008544921875,69751,1482248159232
2026-03-10T12:55:00-04:00,TSLA,"Tesla, Inc.",403.4599914550781,403.6199035644531,403.35009765625,70440,1482248159232
2026-03-10T12:56:00-04:00,TSLA,"Tesla, Inc.",403.489990234375,403.6300048828125,403.40460205078125,73265,1482248159232
2026-03-10T12:57:00-04:00,TSLA,"Tesla, Inc.",403.4949951171875,403.75,403.3599853515625,86799,1482248159232
2026-03-10T12:58:00-04:00,TSLA,"Tesla, Inc.",403.45989990234375,403.6300048828125,403.2900085449219,62572,1482248159232
2026-03-10T12:59:00-04:00,TSLA,"Tesla, Inc.",403.4700012207031,403.6099853515625,403.3800048828125,93940,1482248159232
2026-03-10T13:00:00-04:00,TSLA,"Tesla, Inc.",403.2300109863281,403.57000732421875,403.2101135253906,91526,1482248159232
2026-03-10T13:01:00-04:00,TSLA,"Tesla, Inc.",403.66009521484375,403.6650085449219,403.0350036621094,130145,1482248159232
2026-03-10T13:02:00-04:00,TSLA,"Tesla, Inc.",403.82501220703125,403.94000244140625,403.4700012207031,125826,1482248159232
2026-03-10T13:03:00-04:00,TSLA,"Tesla, Inc.",403.659912109375,403.9700012207031,403.6200866699219,87827,1482248159232
2026-03-10T13:04:00-04:00,TSLA,"Tesla, Inc.",403.760009765625,403.8299865722656,403.5799865722656,100405,1482248159232
2026-03-10T13:05:00-04:00,TSLA,"Tesla, Inc.",404.0799865722656,404.1400146484375,403.68011474609375,156757,1482248159232
2026-03-10T13:06:00-04:00,TSLA,"Tesla, Inc.",403.69000244140625,404.19000244140625,403.57000732421875,109812,1482248159232
