timestamp,ticker,name,current_price,day_high,day_low,volume,market_cap
2026-03-13T00:28:33.576526,MSFT,Microsoft Corporation,404.88,409.01,401.59,25374129,3009221230592
2026-03-11T09:30:00-04:00,MSFT,Microsoft Corporation,407.45001220703125,407.45001220703125,405.760009765625,1901459,3009221230592
2026-03-11T09:31:00-04:00,MSFT,Microsoft Corporation,407.6300048828125,408.489990234375,407.28009033203125,186139,3009221230592
2026-03-11T09:32:00-04:00,MSFT,Microsoft Corporation,407.17999267578125,408.1600036621094,406.8500061035156,169555,3009221230592
2026-03-11T09:33:00-04:00,MSFT,Microsoft Corporation,408.1000061035156,408.1000061035156,406.7799987792969,111592,3009221230592
2026-03-11T09:34:00-04:00,MSFT,Microsoft Corporation,407.32501220703125,408.0249938964844,407.29998779296875,86209,3009221230592
2026-03-11T09:35:00-04:00,MSFT,Microsoft Corporation,407.67498779296875,408.0,407.310791015625,146237,3009221230592
2026-03-11T09:36:00-04:00,MSFT,Microsoft Corporation,407.9200134277344,408.3500061035156,407.30999755859375,118567,3009221230592
2026-03-11T09:37:00-04:00,MSFT,Microsoft Corporation,408.6600036621094,408.7799987792969,407.80999755859375,113430,3009221230592
2026-03-11T09:38:00-04:00,MSFT,Microsoft Corporation,408.2300109863281,409.010009765625,408.05499267578125,90411,3009221230592
2026-03-11T09:39:00-04:00,MSFT,Microsoft Corporation,407.5450134277344,408.45001220703125,407.29998779296875,75897,3009221230592
2026-03-11T09:40:00-04:00,MSFT,Microsoft Corporation,408.5085144042969,408.5299987792969,407.5450134277344,98559,3009221230592
2026-03-11T09:41:00-04:00,MSFT,Microsoft Corporation,408.8699951171875,409.0,408.5450134277344,79924,3009221230592
2026-03-11T09:42:00-04:00,MSFT,Microsoft Corporation,407.6499938964844,408.8699951171875,407.6499938964844,77871,3009221230592
2026-03-11T09:43:00-04:00,MSFT,Microsoft Corporation,407.8399963378906,407.8900146484375,407.2200012207031,63863,3009221230592
2026-03-11T09:44:00-04:00,MSFT,Microsoft Corporation,407.739990234375,408.1499938964844,407.6499938964844,44064,3009221230592
2026-03-11T09:45:00-04:00,MSFT,Microsoft Corporation,408.0950012207031,408.4800109863281,407.4200134277344,61434,3009221230592
2026-03-11T09:46:00-04:00,MSFT,Microsoft Corporation,407.59368896484375,408.2099914550781,407.552001953125,41594,3009221230592
2026-03-11T09:47:00-04:00,MSFT,Microsoft Corporation,407.6700134277344,407.75,407.43499755859375,35017,3009221230592
2026-03-11T09:48:00-04:00,MSFT,Microsoft Corporation,407.4700012207031,407.7900085449219,407.3100891113281,68691,3009221230592
2026-03-11T09:49:00-04:00,MSFT,Microsoft Corporation,407.2250061035156,407.44000244140625,407.1300048828125,72773,3009221230592
2026-03-11T09:50:00-04:00,MSFT,Microsoft Corporation,406.75,407.3185119628906,406.6600036621094,68754,3009221230592
2026-03-11T09:51:00-04:00,MSFT,Microsoft Corporation,406.739990234375,407.0,406.3999938964844,43553,3009221230592
2026-03-11T09:52:00-04:00,MSFT,Microsoft Corporation,406.8949890136719,406.9200134277344,406.5,41351,3009221230592
2026-03-11T09:53:00-04:00,MSFT,Microsoft Corporation,406.9800109863281,407.2799987792969,406.8528137207031,39780,3009221230592
2026-03-11T09:54:00-04:00,MSFT,Microsoft Corporation,406.6300048828125,407.0321960449219,406.57000732421875,52436,3009221230592
2026-03-11T09:55:00-04:00,MSFT,Microsoft Corporation,406.635009765625,406.95001220703125,406.45001220703125,47875,3009221230592
2026-03-11T09:56:00-04:00,MSFT,Microsoft Corporation,406.4700012207031,406.760009765625,406.44000244140625,71167,3009221230592
2026-03-11T09:57:00-04:00,MSFT,Microsoft Corporation,406.3699035644531,406.6600036621094,406.2200012207031,49588,3009221230592
2026-03-11T09:58:00-04:00,MSFT,Microsoft Corporation,407.07000732421875,407.2099914550781,406.2699890136719,45815,3009221230592
2026-03-11T09:59:00-04:00,MSFT,Microsoft Corporation,407.2799072265625,407.2799987792969,406.6700134277344,51554,3009221230592
2026-03-11T10:00:00-04:00,MSFT,Microsoft Corporation,408.07000732421875,408.1700134277344,406.989990234375,116209,3009221230592
